股票代码,股票名称,昨日搜索量,今日搜索量,热度涨幅
300198,纳川股份,1269,1153,-0.3528794713101857
000851,高鸿股份,2251,1792,-0.3549978664390867
000638,万方发展,1203,1026,-0.35695410292072305
000615,奥园美谷,1608,1244,-0.361878642440864
002093,国脉科技,2045,1612,-0.3627513288652646
600276,恒瑞医药,5780,4661,-0.36436415081628537
000009,中国宝安,1922,1574,-0.364727141308276
002049,紫光国微,2907,2406,-0.37398646039795125
600021,上海电力,1784,1374,-0.38655352904840856
600315,上海家化,1283,1016,-0.3911791451955138
300418,昆仑万维,4169,3561,-0.4048772646903491
600702,舍得酒业,1855,1474,-0.41057560105533053
000157,中联重科,5163,4269,-0.4121387467014277
002304,洋河股份,2060,1584,-0.41886151231945634
002253,川大智胜,2248,1721,-0.4245985442018114
600183,生益科技,1837,1476,-0.43092944760023033
300068,南都电源,1949,1553,-0.4334402717493868
002547,春兴精工,3692,3173,-0.4391375386590419
000812,陕西金叶,2312,1679,-0.45640337137316345
300449,汉邦高科,1654,1415,-0.4631473438022051
000680,山推股份,1478,1174,-0.46744432661717905
002272,川润股份,1504,1172,-0.470622739270701
600320,振华重工,2940,2483,-0.47602456808304305
002215,诺普信,1461,1249,-0.4812147777082032
000338,潍柴动力,3968,3090,-0.49280018580165663
300340,科恒股份,1451,1227,-0.5033317836665114
300044,赛为智能,2906,2147,-0.5081024930747922
002228,合兴包装,1194,1036,-0.5329766197510759
300957,贝泰妮,1438,1055,-0.5694145391161693
300047,天源迪科,1882,1386,-0.57529096508419
000629,钒钛股份,5251,4318,-0.5759259259259255
000536,华映科技,1262,1018,-0.577962917585559
300135,宝利国际,1413,1065,-0.5853828306264501
002148,北纬科技,1406,1028,-0.6558966074313408
000040,东旭蓝天,2260,1654,-0.6807142580470233
000425,徐工机械,3808,3022,-0.6996316758747696
300347,泰格医药,1582,1005,-0.7356134874928564
600031,三一重工,15088,11822,-0.8352057282940337
300229,拓尔思,4750,3468,-0.8700882304757891
002224,三力士,1570,1083,-1.1393191352049046
002281,光迅科技,4223,2956,-1.205044111377128
002131,利欧股份,4208,2778,-1.2363235250275766
002951,金时科技,1703,1137,-1.6824518245182452
